dw_true,dw_pred,dw_pred_round,hit,conf,a_dist,b_dist
1.0,-2.0,-2.0,False,5.116035223007202,11.891524893635781,22.88630938680662
1.0,-5.0,-5.0,False,2.7522983103990555,11.429177847168493,20.93801241575043
1.0,40.0,40.0,False,2.1971494555473328,29.39335240835931,18.83535665710609
1.0,-3.0,-3.0,False,2.8472055196762085,31.633113739998713,17.77755790150622
1.0,20.0,20.0,False,3.7396259009838104,36.54883862749425,8.682359231015857
1.0,62.0,62.0,False,3.205954074859619,12.316378529593369,22.709857527883514
1.0,-8.0,-8.0,False,3.8200713098049164,11.340228624478085,15.117258786371004
1.0,4.0,4.0,False,2.812972366809845,10.721429695615113,32.824995353797185
1.0,-44.0,-44.0,False,1.2367829382419586,13.485978509679057,28.94104067931571
1.0,6.0,6.0,False,2.5020418763160706,22.373497598171607,29.987204620445805
1.0,16.0,16.0,False,2.5510101914405823,11.38355348540776,18.62472482772423
1.0,26.0,26.0,False,4.565477699041367,12.15804232448886,37.098349770503
1.0,-28.0,-28.0,False,1.6919741034507751,22.71795375850635,15.225308706727391
1.0,-6.0,-6.0,False,1.2722892761230469,33.506666801150054,8.118020214144925
1.0,5.0,5.0,False,1.6362577676773071,0.49670564656405236,11.405957194711362
1.0,19.0,19.0,False,5.575974225997925,13.039877873474857,21.474927077430486
1.0,7.0,7.0,False,3.3970831111073494,12.6483188597668,18.376355698586874
1.0,6.0,6.0,False,4.488430619239807,12.934394979818636,4.855912228967844
1.0,-4.0,-4.0,False,2.600862681865692,31.580237814821373,8.682359231015857
1.0,8.0,8.0,False,2.325896441936493,34.448297763620126,14.652525633962169
1.0,12.0,12.0,False,2.6088640689849854,2.6446855914156235,9.319085372119496
1.0,28.0,28.0,False,2.6108570396900177,12.316378529593369,29.332039118161315
1.0,25.0,25.0,False,3.3996951580047607,36.54883862749425,36.52262250511153
1.0,8.0,8.0,False,2.2603155374526978,33.85319566165575,23.64526692746963
1.0,-20.0,-20.0,False,5.309304416179657,29.61497991249167,15.117258786371004
1.0,62.0,62.0,False,2.17539244890213,32.34478887833755,15.259049779022657
1.0,66.0,66.0,False,2.623429536819458,21.173642198069864,26.97766156999899
1.0,2.0,2.0,False,1.0645508170127869,36.54883862749425,15.264616699654326
1.0,35.0,35.0,False,2.1971494555473328,34.55536317175504,18.83535665710609
1.0,-15.0,-15.0,False,2.149437725543976,8.79955645223687,35.165772364907724
1.0,32.0,32.0,False,3.205954074859619,12.316378529593369,8.224611462167273
1.0,-26.0,-26.0,False,4.345902681350708,25.177079840078388,22.88630938680662
1.0,0.0,0.0,False,1.2168758511543274,14.714737460626209,15.015654469599074
1.0,-35.0,-35.0,False,2.8472055196762085,22.568317117820673,17.77755790150622
1.0,-7.0,-7.0,False,1.3638856410980225,30.798240859711377,8.25878484770275
1.0,17.0,17.0,False,1.7819624245166779,36.54530892802489,23.602505505640686
1.0,-4.0,-4.0,False,2.8472055196762085,22.622106293308587,17.77755790150622
1.0,3.0,3.0,False,1.9826471507549286,12.40666232636991,15.911331534205623
1.0,-22.0,-22.0,False,4.438660979270935,34.56883758329678,16.628624198372904
1.0,-5.0,-5.0,False,2.426958382129669,11.38355348540776,24.873326921028504
1.0,-20.0,-20.0,False,2.492681562900543,27.54619948521214,18.62472482772423
1.0,9.0,9.0,False,7.0101253390312195,16.758373046605374,4.855912228967844
1.0,51.0,51.0,False,2.5020418763160706,31.899505171331125,29.987204620445805
1.0,4.0,4.0,False,1.2168758511543274,14.714737460626209,34.28624739686573
1.0,7.0,7.0,False,1.681734323501587,18.97980964930986,15.225308706727391
1.0,7.0,7.0,False,1.6362577676773071,0.49670564656405236,10.730128396395694
1.0,45.0,45.0,False,1.6732242107391357,21.00143445883193,21.965049030362987
1.0,22.0,22.0,False,3.3996951580047607,0.4773513019170415,36.52262250511153
1.0,-14.0,-14.0,False,3.7779223918914795,12.934394979818636,33.0454780589978
1.0,-5.0,-5.0,False,1.4771925806999207,28.436787422390914,16.29558027762352
1.0,18.0,18.0,False,2.6401007771492004,19.07230972777159,14.635311078361559
1.0,3.0,3.0,False,1.9826471507549286,11.38355348540776,15.911331534205623
1.0,-31.0,-31.0,False,1.9826471507549286,18.058966479125804,15.911331534205623
1.0,27.0,27.0,False,2.7522983103990555,11.429177847168493,26.97766156999899
1.0,1.0,1.0,True,3.128896653652191,25.650153268575533,15.015654469599074
1.0,65.0,65.0,False,3.9637532830238342,11.38355348540776,33.40389238393791
1.0,11.0,11.0,False,3.3904115557670593,36.384005765573924,18.10322578305981
1.0,14.0,14.0,False,1.5040163397789001,28.759272945827746,37.034343606357595
1.0,-14.0,-14.0,False,2.5348986983299255,12.675361276026148,33.0454780589978
1.0,70.0,70.0,False,2.313220798969269,36.384005765573924,18.870682683663297
1.0,-7.0,-7.0,False,2.527928948402405,23.667598123980643,27.67453498484116
1.0,-24.0,-24.0,False,1.4795578718185425,30.039700306643198,9.319085372119496
1.0,-28.0,-28.0,False,2.4881948828697205,22.71795375850635,32.824995353797185
1.0,48.0,48.0,False,2.7554911971092224,14.36007804934402,17.328482951808933
1.0,15.0,15.0,False,3.101964056491852,34.49868932252244,18.069541640936148
1.0,2.0,2.0,False,3.3904115557670593,36.384005765573924,22.989386141273712
1.0,-29.0,-29.0,False,1.6919741034507751,18.058966479125804,15.225308706727391
1.0,-29.0,-29.0,False,2.293143332004547,31.80646648037221,10.031491285613026
1.0,-12.0,-12.0,False,1.3638856410980225,14.233193642662608,8.25878484770275
1.0,2.0,2.0,False,2.2988290190696716,21.00143445883193,33.50127260438447
1.0,24.0,24.0,False,2.9907127618789673,8.899214525601035,37.241384649215455
1.0,-17.0,-17.0,False,3.426828622817993,11.891524893635781,12.33427772686577
1.0,-32.0,-32.0,False,0.5817304030060768,26.19546307600997,25.450874205678122
1.0,-16.0,-16.0,False,2.072601318359375,30.975944045292152,13.961274401800262
1.0,22.0,22.0,False,3.3060818314552307,29.916554380824223,10.187470792950847
1.0,9.0,9.0,False,1.7081249952316284,34.2840939561818,33.50127260438447
1.0,33.0,33.0,False,1.7792115658521652,11.38355348540776,36.20400376914155
1.0,-13.0,-13.0,False,3.513404428958893,3.0582732011945124,21.404151802535562
1.0,-24.0,-24.0,False,3.3996951580047607,32.86703992429209,36.52262250511153
1.0,-9.0,-9.0,False,3.0043410062789917,18.483624634139908,35.700527986527675
1.0,-2.0,-2.0,False,3.093537926673889,7.388071147185773,30.64751276375844
1.0,7.0,7.0,False,3.426828622817993,14.36007804934402,12.33427772686577
1.0,-15.0,-15.0,False,2.149437725543976,16.583171453915885,35.165772364907724
